id,trial,condition,condition_char,trial_condition,stimulus,stimulus_char,response,response_char,category,category_char,correct
5,1,1,learn,1,1,1A,0,A,0,A,1
5,2,1,learn,2,14,14B,0,A,1,B,0
5,3,1,learn,3,13,13B,1,B,1,B,1
5,4,1,learn,4,6,6A,1,B,0,A,0
5,5,1,learn,5,11,11A,0,A,0,A,1
5,6,1,learn,6,3,3B,0,A,1,B,0
5,7,1,learn,7,16,16A,0,A,0,A,1
5,8,1,learn,8,4,4B,0,A,1,B,0
5,9,1,learn,9,14,14B,0,A,1,B,0
5,10,1,learn,10,13,13B,1,B,1,B,1
5,11,1,learn,11,3,3B,0,A,1,B,0
5,12,1,learn,12,4,4B,0,A,1,B,0
5,13,1,learn,13,1,1A,1,B,0,A,0
5,14,1,learn,14,16,16A,1,B,0,A,0
5,15,1,learn,15,11,11A,0,A,0,A,1
5,16,1,learn,16,6,6A,0,A,0,A,1
5,17,1,learn,17,14,14B,0,A,1,B,0
5,18,1,learn,18,6,6A,1,B,0,A,0
5,19,1,learn,19,1,1A,0,A,0,A,1
5,20,1,learn,20,11,11A,1,B,0,A,0
5,21,1,learn,21,13,13B,0,A,1,B,0
5,22,1,learn,22,16,16A,1,B,0,A,0
5,23,1,learn,23,4,4B,0,A,1,B,0
5,24,1,learn,24,3,3B,0,A,1,B,0
5,25,1,learn,25,11,11A,0,A,0,A,1
5,26,1,learn,26,4,4B,0,A,1,B,0
5,27,1,learn,27,1,1A,1,B,0,A,0
5,28,1,learn,28,13,13B,0,A,1,B,0
5,29,1,learn,29,14,14B,1,B,1,B,1
5,30,1,learn,30,3,3B,0,A,1,B,0
5,31,1,learn,31,16,16A,1,B,0,A,0
5,32,1,learn,32,6,6A,0,A,0,A,1
5,33,2,transfer,33,8,8T,1,B,NA,NA,NA
5,34,2,transfer,33,10,10T,1,B,NA,NA,NA
5,35,2,transfer,33,16,16A,1,B,NA,NA,NA
5,36,2,transfer,33,3,3B,0,A,NA,NA,NA
5,37,2,transfer,33,7,7T,0,A,NA,NA,NA
5,38,2,transfer,33,5,5T,1,B,NA,NA,NA
5,39,2,transfer,33,14,14B,1,B,NA,NA,NA
5,40,2,transfer,33,2,2T,0,A,NA,NA,NA
5,41,2,transfer,33,4,4B,0,A,NA,NA,NA
5,42,2,transfer,33,9,9T,1,B,NA,NA,NA
5,43,2,transfer,33,11,11A,0,A,NA,NA,NA
5,44,2,transfer,33,1,1A,1,B,NA,NA,NA
5,45,2,transfer,33,15,15T,0,A,NA,NA,NA
5,46,2,transfer,33,13,13B,1,B,NA,NA,NA
5,47,2,transfer,33,12,12T,1,B,NA,NA,NA
